Date,Product,Quantity,Returned,Sales Amount,Customer Name
2025-07-01,Printer Paper,122,10,2800,Charlie Davis
2025-07-02,Notebook,185,15,3230,Bob Smith
2025-07-03,Wireless Mouse,100,1,1782,Edward Johnson
2025-07-04,Desk Organizer,129,11,2242,Diana Green
2025-07-05,Stapler,82,8,814,Diana Green
2025-07-06,Wireless Mouse,43,2,984,George Martin
2025-07-07,Stapler,61,4,684,George Martin
2025-07-08,Stapler,12,0,72,George Martin
2025-07-09,Printer Paper,89,0,1958,Hannah Scott
2025-07-10,Highlighter,82,3,1185,Fiona Lee
2025-07-11,Pen,188,5,3294,Charlie Davis
2025-07-12,Laptop Stand,167,13,3542,Charlie Davis
2025-07-13,Highlighter,94,7,870,Charlie Davis
2025-07-14,Pen,19,1,288,Alice Brown
2025-07-15,Printer Paper,51,3,672,Bob Smith
2025-07-16,USB Cable,197,13,2760,Fiona Lee
2025-07-17,Pen,75,2,876,Charlie Davis
2025-07-18,USB Cable,121,0,968,Hannah Scott
2025-07-19,USB Cable,134,6,2816,Hannah Scott
2025-07-20,Printer Paper,77,0,847,George Martin
