Date,Product,Quantity,Returned,Sales Amount,Customer Name
2025-10-01,Desk Organizer,181,17,984,Hannah Scott
2025-10-02,Wireless Mouse,104,7,1261,Diana Green
2025-10-03,Stapler,154,1,3519,George Martin
2025-10-04,Mouse Pad,199,10,2268,Charlie Davis
2025-10-05,Pen,79,6,365,Hannah Scott
2025-10-06,Desk Organizer,19,0,228,Bob Smith
2025-10-07,USB Cable,186,16,1190,Charlie Davis
2025-10-08,Laptop Stand,181,4,1770,George Martin
2025-10-09,Stapler,49,4,945,George Martin
2025-10-10,Printer Paper,167,4,978,Edward Johnson
2025-10-11,Pen,148,2,1606,Bob Smith
2025-10-12,Highlighter,48,4,220,George Martin
2025-10-13,USB Cable,126,6,2520,George Martin
2025-10-14,Laptop Stand,180,0,3240,Hannah Scott
2025-10-15,Notebook,67,6,488,Hannah Scott
2025-10-16,Mouse Pad,60,2,928,Diana Green
2025-10-17,Highlighter,115,0,1840,Hannah Scott
2025-10-18,Printer Paper,59,0,649,Alice Brown
2025-10-19,Pen,118,9,654,Diana Green
2025-10-20,Printer Paper,28,2,546,Edward Johnson
